candidate,scenario,period,cost_bps,execution_lag_days,TotalReturn,TotalCAGR,TotalSharpe,MaxDD,Calmar,ExcessReturn,ExcessCAGR,ExcessSharpe,AnnTurnover,Trades,TimeInMarket,NPeriods
scaled_onchain_ma200,base_lag1,development,15.0,1,18.307407128699563,0.8071906326590441,1.7576504943109876,-0.4078320993923712,1.979222905361488,17.326227387003144,0.7884478092041369,1.7299530867819273,2.598576122672508,25,0.3910186199342826,1826
scaled_onchain_ma200,base_lag1,validation,15.0,1,5.359274087139902,0.5875024722044606,1.4511692506292173,-0.3683327415208094,1.5950318990886367,4.906512322861954,0.558478415341622,1.400311729181993,4.621834360027378,33,0.4277891854893908,1461
scaled_onchain_ma200,base_lag1,recent,15.0,1,0.17694490387523665,0.06595789872081936,0.3748230566651665,-0.31858951248420275,0.20703097916347726,0.05439959052063004,0.020984703990284626,0.21003787228104584,9.997314715359828,34,0.4548872180451128,931
scaled_onchain_ma200,base_lag1,full,15.0,1,143.50658269121547,0.5378129198437898,1.4037138197578967,-0.4078320993923712,1.318711598829707,113.13252195055699,0.5067307972866077,1.3452546134097803,4.9324324324324325,92,0.41785206258890467,4218
scaled_onchain_ma200,base_lag1,2015,15.0,1,0.2550399169835924,0.2550399169835924,1.1983034033967637,-0.17580449172569235,1.450701938728227,0.25452899150339237,0.25452899150339237,1.19634998919832,4.5,8,0.18904109589041096,365
scaled_onchain_ma200,base_lag1,2016,15.0,1,0.9921701333586632,0.9884221536154698,2.451786152480332,-0.16337804714637816,6.049907994859893,0.9862232918687661,0.9825026937155252,2.4418211595293795,0.4986338797814207,1,0.680327868852459,366
scaled_onchain_ma200,base_lag1,2017,15.0,1,7.247850503600162,7.247850503600162,3.592904937273494,-0.30514136097817446,23.752435528130754,7.1727995934981585,7.1727995934981585,3.578719377630048,3.5,7,0.7301369863013699,365
scaled_onchain_ma200,base_lag1,2018,15.0,1,-0.29112560404109367,-0.29112560404109367,-1.1779356881419738,-0.37268237504414337,-0.7811627904502071,-0.3046151605043599,-0.3046151605043599,-1.251146776689354,2.5,5,0.09452054794520548,365
scaled_onchain_ma200,base_lag1,2019,15.0,1,0.32077828467234304,0.32077828467234304,1.1096390214367036,-0.2061369126577991,1.5561418890795953,0.29410117216454723,0.29410117216454723,1.0387739395384452,2.0,4,0.2602739726027397,365
scaled_onchain_ma200,base_lag1,2020,15.0,1,1.6644665549318298,1.657341705781616,2.7032972879614943,-0.17921155767077546,9.247962170086552,1.655280719729047,1.6482054214471966,2.6943015868231592,2.9918032786885242,6,0.5737704918032787,366
scaled_onchain_ma200,base_lag1,2021,15.0,1,0.28238187365643697,0.28238187365643697,0.7543723192532444,-0.36833274152080875,0.7666488525850585,0.2819391868267618,0.2819391868267618,0.7536506993375665,9.0,18,0.42876712328767125,365
scaled_onchain_ma200,base_lag1,2022,15.0,1,0.019955760409807066,0.019955760409807066,25.766625636441585,0.0,,0.0,0.0,,0.0,0,0.0,365
scaled_onchain_ma200,base_lag1,2023,15.0,1,0.824729800039975,0.824729800039975,1.7572498294986396,-0.1837835788662011,4.48750538610633,0.735214822857547,0.735214822857547,1.6259016060061562,6.5,9,0.7082191780821918,365
scaled_onchain_ma200,base_lag1,2024,15.0,1,0.38877201459745336,0.3875263976241783,1.4447140161625927,-0.12259513074211514,3.1610260152938623,0.3215096748159598,0.320503490945484,1.2448751681461803,8.476775956284152,17,0.4248633879781421,366
scaled_onchain_ma200,base_lag1,2025,15.0,1,-0.1691057799454283,-0.1691057799454283,-0.38348855015884364,-0.31858951248420186,-0.5307951872829269,-0.20212495556079058,-0.20212495556079058,-0.5041079927969184,17.0,17,0.7342465753424657,365
scaled_onchain_ma200,base_lag1,2026,15.0,1,0.019951306245809874,0.03671044766655629,1586.6354553139213,0.0,,0.0,0.0,,0.0,0,0.0,200
scaled_onchain_ma200,base_lag2,development,15.0,2,18.58869040518922,0.8124230148451881,1.7460527928089564,-0.3900503902292727,2.0828668172018587,17.593227284384163,0.7936261392167394,1.718748746703723,2.598576122672508,25,0.3910186199342826,1826
scaled_onchain_ma200,base_lag2,validation,15.0,2,4.7707734703856035,0.5494524304894923,1.3774294246592107,-0.3210655568773505,1.7113403126557962,4.359811000296594,0.5211169299011869,1.3268971853787392,4.621834360027378,33,0.4274469541409993,1461
scaled_onchain_ma200,base_lag2,recent,15.0,2,0.07830584829624931,0.029998368211353377,0.2439980442554268,-0.28200579082183264,0.10637500784622515,-0.03398006265992115,-0.013462102659547504,0.081862995681414,9.997314715359828,34,0.45542427497314714,931
scaled_onchain_ma200,base_lag2,full,15.0,2,120.89373638379475,0.5153331000670369,1.3499402968701752,-0.3900503902292727,1.3211962171454892,95.26986074867622,0.4847015422334786,1.2921586377374366,4.9324324324324325,92,0.41785206258890467,4218
scaled_onchain_ma200,stress_lag1,development,30.0,1,17.933043510462316,0.800131343791094,1.7470611876353013,-0.41004806442575303,1.9513111101051737,16.97088010348945,0.78146156783706,1.7193684206064648,2.598576122672508,25,0.3910186199342826,1826
scaled_onchain_ma200,stress_lag1,validation,30.0,1,5.1854961035874005,0.5765517023696023,1.4321404661541584,-0.37636408443348235,1.5318988347080196,4.745098500250827,0.5477272964272806,1.3812818192741774,4.621834360027378,33,0.4277891854893908,1461
scaled_onchain_ma200,stress_lag1,recent,30.0,1,0.13265829233256166,0.0500489898514338,0.3173009178299453,-0.3277889160551699,0.1526866449718821,0.014719643606268873,0.005745239894085152,0.15261610177135607,9.997314715359828,34,0.4548872180451128,931
scaled_onchain_ma200,stress_lag1,full,30.0,1,131.64591487967294,0.5264584411174384,1.3823610032842777,-0.41004806442575303,1.2838944669930608,103.76419822664914,0.49560498905865846,1.323911528202123,4.9324324324324325,92,0.41785206258890467,4218
scaled_onchain_ma200,stress_lag2,development,30.0,2,18.21168330010221,0.8053960838815193,1.7359532257702595,-0.39005039022927257,2.064851373198487,17.235370594547682,0.7866719203888843,1.708648336635021,2.598576122672508,25,0.3910186199342826,1826
scaled_onchain_ma200,stress_lag2,validation,30.0,2,4.6125558834484925,0.5387284243804551,1.3582868507955796,-0.33116277864851296,1.6267783069674222,4.212853009220711,0.510588474839764,1.3077631593395305,4.621834360027378,33,0.4274469541409993,1461
scaled_onchain_ma200,stress_lag2,recent,30.0,2,0.03777773657903971,0.014644102257315827,0.18753485372924236,-0.2916400798105667,0.050212927752686896,-0.07029204171138481,-0.028170193288110768,0.025452017271941147,9.997314715359828,34,0.45542427497314714,931
scaled_onchain_ma200,stress_lag2,full,30.0,2,110.90009277089999,0.5041574315122412,1.3289340024642593,-0.39005039022927257,1.292544358732461,87.37646403407476,0.47375096704753816,1.271158419101404,4.9324324324324325,92,0.41785206258890467,4218
price_trend_ma200,control,development,15.0,1,32.6363389938277,1.0192705635344281,1.4440055889423054,-0.6800997976071936,1.498707347246014,30.92681668386836,0.9983261659224816,1.4271408215830759,2.7984665936473165,14,0.6144578313253012,1826
price_trend_ma200,control,validation,15.0,1,3.674500412135388,0.4700063081399104,1.0682431610668588,-0.6219867386160887,0.7556532622957003,3.3417190777343793,0.4431328613516281,1.0279943582064426,6.745379876796714,27,0.5722108145106092,1461
price_trend_ma200,control,recent,15.0,1,0.5171432169261789,0.17752938190449052,0.6301321264474085,-0.31941158949246073,0.555801316372338,0.3592065077156623,0.1278588881739955,0.5115157210260756,11.369495166487647,29,0.6036519871106337,931
price_trend_ma200,control,full,15.0,1,237.54510154086142,0.6059811875922723,1.1729798668058193,-0.6800997976071936,0.8910180384177526,187.40949422574658,0.5735245461393146,1.13349266971135,6.0573731626363205,70,0.5974395448079659,4218
buy_hold,control,development,15.0,1,21.351849093064324,0.8608651490874248,1.203479651980938,-0.8378314303414434,1.0274920681080137,20.215033261342068,0.841549671409576,1.1895469627482627,0.0,0,1.0,1826
buy_hold,control,validation,15.0,1,4.890167692655733,0.5573998692896043,1.0074128892604242,-0.7666881595920789,0.7270229262261886,4.470741292340278,0.5289217300131539,0.9796104721413972,0.0,0,1.0,1461
buy_hold,control,recent,15.0,1,0.5314400967923614,0.18186738700173333,0.587757420552505,-0.5311409452058966,0.3424089003931574,0.3720121929026512,0.1320129794624023,0.4972578194513361,0.0,0,1.0,931
buy_hold,control,full,15.0,1,200.62349086464204,0.5827813963350807,1.0242376128597879,-0.8378314303414434,0.6955831152068126,158.2384221683624,0.5507857258998414,0.9936324081288437,0.0,0,1.0,4218
