name,family,feature_window,hold,trend_window,quantile,matched_control,eligible,robust_score,development_total_cagr,validation_total_cagr,development_excess_cagr,validation_excess_cagr,development_excess_sharpe,validation_excess_sharpe,validation_max_dd,validation_ann_turnover,validation_time_in_market,validation_sharpe_add,validation_dd_reduction,validation_cagr_retention
structural_scarcity_w365_qna_hold1_ma200,structural_scarcity,365,1,200,,price_trend_ma200,True,1.6789959425769692,0.49322194231134686,0.669615247374225,0.47772931032766164,0.6390860181020368,1.689248232163232,1.6789959425769692,-0.255459631886763,2.4982888432580426,0.28336755646817247,0.6510015843705266,0.36652710672932565,1.424694170646951
net_outflow_w7_q70_hold7_ma100,net_outflow,7,7,100,0.7,price_trend_ma100,True,1.5190332779188915,0.7836113056453318,0.6095633850050355,0.7651258420620317,0.5801382968112243,1.6737592000096155,1.5190332779188915,-0.35036357460189516,18.737166324435318,0.3319644079397673,0.24797332495363156,0.027875303779562932,0.9452801015415192
net_outflow_w7_q70_hold7_ma200,net_outflow,7,7,200,0.7,price_trend_ma200,True,1.4794088762875588,1.068088994655854,0.5872992871110905,1.0466566010801008,0.5582804002278503,2.0383819396746263,1.4794088762875588,-0.3308794968158717,16.738535249828885,0.32375085557837097,0.4514145180811162,0.29110724180021696,1.2495561802891049
structural_scarcity_w365_qna_hold1_ma100,structural_scarcity,365,1,100,,price_trend_ma100,True,1.421579670098681,0.41436981810793827,0.5384492498434839,0.39969418286333225,0.5103112506012795,1.5063219275138717,1.421579670098681,-0.25933411623061453,7.994524298425736,0.28268309377138945,0.15051971713342094,0.11890476215084356,0.8349998935103339
reserve_decline_w90_q70_hold7_ma200,reserve_decline,90,7,200,0.7,price_trend_ma200,True,1.3772112139650865,0.6125171262349984,0.4899362639271727,0.5957911033173202,0.46267994382294453,1.4949982966873856,1.3772112139650865,-0.30731252853917956,2.4982888432580426,0.2655715263518138,0.3492168557586439,0.3146742100769091,1.0424035921265329
reserve_decline_w90_q70_hold30_ma200,reserve_decline,90,30,200,0.7,price_trend_ma200,True,1.357292073896869,0.8360455616148081,0.5368586791434851,0.8170097590154517,0.5087521512337572,1.603868389645396,1.357292073896869,-0.33667934230659535,2.9979466119096507,0.30321697467488024,0.32929771569042643,0.2853073963094933,1.142237178194796
net_outflow_w7_q70_hold30_ma100,net_outflow,7,30,100,0.7,price_trend_ma100,True,1.3559062669610105,1.1228857023416472,0.6919443646328729,1.1008872597672026,0.6610091276357244,1.5984280425201234,1.3559062669610105,-0.37823887838145775,13.240930869267624,0.5516769336071184,0.08484631399575049,3.3306690738754696e-16,1.0730323627555827
reserve_decline_w90_q70_hold7_ma100,reserve_decline,90,7,100,0.7,price_trend_ma100,False,1.2918031779772983,0.5506794413711211,0.4592193982886772,0.5345996924142677,0.4325246964842453,1.3459981967511627,1.2918031779772983,-0.3611078825160221,6.4955509924709105,0.2737850787132101,0.02074322501203829,0.017130995865435983,0.7121342425128934
reserve_decline_w90_q70_hold30_ma100,reserve_decline,90,30,100,0.7,price_trend_ma100,False,1.2301777725004261,0.6898902257012614,0.47897646428454244,0.6723729703875791,0.4519235815401148,1.389378013848353,1.2301777725004261,-0.44192647480157465,6.995208761122519,0.3059548254620123,-0.04088218046483383,-0.06368759642011657,0.7427725023069585
net_outflow_w7_q70_hold30_ma200,net_outflow,7,30,200,0.7,price_trend_ma200,False,1.1060473971126794,1.362197560238398,0.5146784212161468,1.3377149153534083,0.4869940611617245,1.7669985773756811,1.1060473971126794,-0.6276791501752309,9.743326488706366,0.5475701574264202,0.07805303890623683,-0.005692411559142241,1.0950457734344674
dual_accumulation_w30_q50_hold30_ma100,dual_accumulation,30,30,100,0.5,price_trend_ma100,False,0.900935297977882,0.90907526209467,0.35064338136894446,0.8892892232206937,0.3259307203262862,1.5214915765560506,0.900935297977882,-0.4498529580159054,13.240930869267624,0.48323066392881586,-0.370124654987378,-0.07161407963444733,0.5437600408734514
dual_accumulation_w30_q50_hold7_ma200,dual_accumulation,30,7,200,0.5,price_trend_ma200,False,0.8835869686321289,0.8469674668177725,0.2910979203306925,0.8278141308957885,0.26748526599524136,1.655089270508024,0.8835869686321289,-0.3495339738611697,9.99315537303217,0.33607118412046544,-0.14440738957431365,0.272452764754919,0.6193489646612128
dual_accumulation_w30_q50_hold7_ma100,dual_accumulation,30,7,100,0.5,price_trend_ma100,False,0.8664860071742492,0.7334861305812213,0.29184019269729333,0.7155132198376923,0.2682108354605446,1.4864541446228365,0.8664860071742492,-0.30815308748652714,13.490759753593428,0.35592060232717315,-0.4045739457910108,0.07008579089493094,0.4525710266939919
net_outflow_w30_q70_hold7_ma200,net_outflow,30,7,200,0.7,price_trend_ma200,False,0.7399497385476403,0.6253898098076007,0.19480217458294669,0.6085325689129626,0.17294426389322792,1.7056671655560083,0.7399497385476403,-0.23935287421761586,6.4955509924709105,0.2245037645448323,-0.28804461965880224,0.3826338643984728,0.41446714907698307
reserve_decline_w30_q70_hold7_ma200,reserve_decline,30,7,200,0.7,price_trend_ma200,False,0.7399497385476403,0.6253898098076007,0.19480217458294669,0.6085325689129626,0.17294426389322792,1.7056671655560083,0.7399497385476403,-0.23935287421761586,6.4955509924709105,0.2245037645448323,-0.28804461965880224,0.3826338643984728,0.41446714907698307
dual_accumulation_w30_q70_hold7_ma200,dual_accumulation,30,7,200,0.7,price_trend_ma200,False,0.7399497385476403,0.6253898098076007,0.19480217458294669,0.6085325689129626,0.17294426389322792,1.7056671655560083,0.7399497385476403,-0.23935287421761586,6.4955509924709105,0.2245037645448323,-0.28804461965880224,0.3826338643984728,0.41446714907698307
net_outflow_w30_q70_hold30_ma100,net_outflow,30,30,100,0.7,price_trend_ma100,False,0.6764073467311169,0.554173210380343,0.2105253195459469,0.5380554939995132,0.18837437716095495,1.2081573518504294,0.6764073467311169,-0.3782388783814591,9.243668720054757,0.35592060232717315,-0.5946526062341431,-9.992007221626409e-16,0.3264720295426037
reserve_decline_w30_q70_hold30_ma100,reserve_decline,30,30,100,0.7,price_trend_ma100,False,0.6764073467311169,0.554173210380343,0.2105253195459469,0.5380554939995132,0.18837437716095495,1.2081573518504294,0.6764073467311169,-0.3782388783814591,9.243668720054757,0.35592060232717315,-0.5946526062341431,-9.992007221626409e-16,0.3264720295426037
dual_accumulation_w30_q70_hold30_ma100,dual_accumulation,30,30,100,0.7,price_trend_ma100,False,0.6764073467311169,0.554173210380343,0.2105253195459469,0.5380554939995132,0.18837437716095495,1.2081573518504294,0.6764073467311169,-0.3782388783814591,9.243668720054757,0.35592060232717315,-0.5946526062341431,-9.992007221626409e-16,0.3264720295426037
dual_accumulation_w30_q50_hold30_ma200,dual_accumulation,30,30,200,0.5,price_trend_ma200,False,0.6130699404094484,1.0909695607600622,0.2019980332717386,1.069293540284309,0.18001256965082213,1.7054055863054574,0.6130699404094484,-0.6417769334119288,9.243668720054757,0.4702258726899384,-0.4149244177969942,-0.0197901947958401,0.4297772812266347
net_outflow_w30_q70_hold7_ma100,net_outflow,30,7,100,0.7,price_trend_ma100,False,0.5657606999916428,0.48473126392716015,0.14641029330219002,0.46933265923247425,0.12543766928197342,1.3412282388590049,0.5657606999916428,-0.3129026817025431,10.992470910335387,0.24845995893223818,-0.7052992529736172,0.06533619667891499,0.22704568601717195
reserve_decline_w30_q70_hold7_ma100,reserve_decline,30,7,100,0.7,price_trend_ma100,False,0.5657606999916428,0.48473126392716015,0.14641029330219002,0.46933265923247425,0.12543766928197342,1.3412282388590049,0.5657606999916428,-0.3129026817025431,10.992470910335387,0.24845995893223818,-0.7052992529736172,0.06533619667891499,0.22704568601717195
dual_accumulation_w30_q70_hold7_ma100,dual_accumulation,30,7,100,0.7,price_trend_ma100,False,0.5657606999916428,0.48473126392716015,0.14641029330219002,0.46933265923247425,0.12543766928197342,1.3412282388590049,0.5657606999916428,-0.3129026817025431,10.992470910335387,0.24845995893223818,-0.7052992529736172,0.06533619667891499,0.22704568601717195
net_outflow_w30_q70_hold30_ma200,net_outflow,30,30,200,0.7,price_trend_ma200,False,0.35080577213575637,0.6632676173417877,0.08297140408484949,0.6460157879062722,0.0631569943826984,1.3912310751974093,0.35080577213575637,-0.6133268281636934,6.745379876796714,0.34360027378507874,-0.6771885860706862,0.008659910452395225,0.17653253296368684
reserve_decline_w30_q70_hold30_ma200,reserve_decline,30,30,200,0.7,price_trend_ma200,False,0.35080577213575637,0.6632676173417877,0.08297140408484949,0.6460157879062722,0.0631569943826984,1.3912310751974093,0.35080577213575637,-0.6133268281636934,6.745379876796714,0.34360027378507874,-0.6771885860706862,0.008659910452395225,0.17653253296368684
dual_accumulation_w30_q70_hold30_ma200,dual_accumulation,30,30,200,0.7,price_trend_ma200,False,0.35080577213575637,0.6632676173417877,0.08297140408484949,0.6460157879062722,0.0631569943826984,1.3912310751974093,0.35080577213575637,-0.6133268281636934,6.745379876796714,0.34360027378507874,-0.6771885860706862,0.008659910452395225,0.17653253296368684
