strategy,family,independence_group,evidence,description,implementation_note,start,end,years,cagr,stress_cagr,annual_vol,excess_shy_sharpe,max_drawdown,ulcer_index,calmar,cvar_5pct_daily,worst_calendar_year,best_calendar_year,max_recovery_days,max_underwater_days,max_trough_to_recovery_days,max_5pct_trough_to_recovery_days,median_5pct_trough_to_recovery_days,share_5pct_recovered_within_20d,n_5pct_drawdowns,n_unrecovered_5pct_drawdowns,largest_year_abs_excess_share,annual_turnover,cagr_2007_2012,cagr_2013_2021,rolling_3y_min,rolling_3y_target_share,rolling_5y_min,rolling_5y_target_share,latest_weights,GFC_return,GFC_maxdd,2011_euro_US_downgrade_return,2011_euro_US_downgrade_maxdd,2018_Q4_return,2018_Q4_maxdd,COVID_crash_return,COVID_crash_maxdd,candidate,frequency,parameter,stress_meta_bps,original_gate_20bp,relaxed_gate_20bp
fast_worst_M_50,ETF ensemble post-selection robustness,fast_worst,post_selection_diagnostic,first sleeve 50%; second 50%,Post-selection sensitivity; not an independent candidate,2007-02-01,2021-12-31,14.90079365079365,0.10241377999873325,0.1019320092227276,0.08903343973841772,0.9122334000287876,-0.1716540910770159,0.038225097765502376,0.5966288327656772,-0.01349164034217205,-0.053151505453557624,0.2004425565946928,339,339,116,116,56.0,0.1111111111111111,9,0,0.10585787229848512,0.2913350078147354,0.08996037338762042,0.11067434301783519,0.041635118588576825,0.455,0.049206271974473914,0.38461538461538464,"{""recovery_sector_barbell_M_cyc65_mom63_ma100_top2"": 0.5, ""retail_all_weather_fixed"": 0.5}",-0.12489839523419999,-0.17165409107701635,0.019051384929289927,-0.02764298561465295,-0.06188436856765045,-0.06551829026353884,-0.10207343447062456,-0.11496404166917551,fast_worst,M,first sleeve 50%; second 50%,20.0,True,False
fast_worst_Q_50,ETF ensemble post-selection robustness,fast_worst,post_selection_diagnostic,first sleeve 50%; second 50%,Post-selection sensitivity; not an independent candidate,2007-04-02,2021-12-31,14.738095238095237,0.10299278016737734,0.1026167526008317,0.08916505077065656,0.9237298305678766,-0.17278166649188442,0.03860377020838575,0.5960862761571692,-0.01347062388191418,-0.05392265162160925,0.20089669501816254,339,339,116,116,56.0,0.1111111111111111,9,0,0.1060979143459632,0.22724317178812356,0.09079163485247643,0.11086082557524657,0.04169695068632007,0.4606285907401149,0.04939491001061724,0.384928716904277,"{""recovery_sector_barbell_M_cyc65_mom63_ma100_top2"": 0.5, ""retail_all_weather_fixed"": 0.5}",-0.12605643187571036,-0.17278166649188464,0.02047767624288266,-0.027336770908512942,-0.06180960905778399,-0.06551829026353895,-0.1013664676074637,-0.11596112897411714,fast_worst,Q,first sleeve 50%; second 50%,20.0,True,False
fast_worst_M_60,ETF ensemble post-selection robustness,fast_worst,post_selection_diagnostic,first sleeve 60%; second 40%,Post-selection sensitivity; not an independent candidate,2007-02-01,2021-12-31,14.90079365079365,0.09864746193484608,0.09817753324299239,0.08255470081403603,0.9425969109113483,-0.16713385917309087,0.035796046065122725,0.5902302646687684,-0.012356125534534725,-0.04769867155107277,0.19900182016010848,323,323,120,120,56.5,0.0,8,0,0.10174283858698643,0.2851517325118906,0.08996733885581576,0.10438881541687484,0.04020909088667968,0.43166666666666664,0.04992247989961762,0.344150641025641,"{""recovery_sector_barbell_M_cyc65_mom63_ma100_top2"": 0.4, ""retail_all_weather_fixed"": 0.6}",-0.11670699713891897,-0.1671338591730912,0.03041037660271284,-0.02271163233790463,-0.05807597926750907,-0.06086064464228147,-0.09206086161335059,-0.11394089502955751,fast_worst,M,first sleeve 60%; second 40%,20.0,True,False
fast_worst_Q_60,ETF ensemble post-selection robustness,fast_worst,post_selection_diagnostic,first sleeve 60%; second 40%,Post-selection sensitivity; not an independent candidate,2007-04-02,2021-12-31,14.738095238095237,0.09916854732139702,0.09879958825545532,0.08270823364735248,0.9542041537619153,-0.16822218652337018,0.036176770181494636,0.589509323180864,-0.012347115927129964,-0.0484428695451552,0.1994320103862819,323,323,120,120,59.0,0.0,7,0,0.10203801235655031,0.22375237331586934,0.09076163281287175,0.10457456234466767,0.04027348053935431,0.4369719499831024,0.05003958146254561,0.34582484725050916,"{""recovery_sector_barbell_M_cyc65_mom63_ma100_top2"": 0.4, ""retail_all_weather_fixed"": 0.6}",-0.11782993686077958,-0.1682221865233705,0.031779244898868964,-0.022418336738105893,-0.05800422784771442,-0.06078975576998613,-0.09138060605180398,-0.11490028193104762,fast_worst,Q,first sleeve 60%; second 40%,20.0,True,False
fast_worst_M_70,ETF ensemble post-selection robustness,fast_worst,post_selection_diagnostic,first sleeve 70%; second 30%,Post-selection sensitivity; not an independent candidate,2007-02-01,2021-12-31,14.90079365079365,0.09474717854669623,0.09430974862049735,0.0777017842876226,0.9605212946751258,-0.16271377822171862,0.034031511002856105,0.5822935192223914,-0.011495939940355335,-0.04231607952732219,0.19741750187691953,337,337,133,133,67.5,0.16666666666666666,6,0,0.10539277084668294,0.2663751365386946,0.08981224600885951,0.09800210775494778,0.038688115488531016,0.4063333333333333,0.049455382359992806,0.32091346153846156,"{""recovery_sector_barbell_M_cyc65_mom63_ma100_top2"": 0.30000000000000004, ""retail_all_weather_fixed"": 0.7}",-0.10863255367038283,-0.16271377822171862,0.041843288801365786,-0.01990540012367603,-0.05426251030085494,-0.0570648974729312,-0.08197609770246916,-0.11338015587091221,fast_worst,M,first sleeve 70%; second 30%,20.0,True,False
fast_worst_Q_70,ETF ensemble post-selection robustness,fast_worst,post_selection_diagnostic,first sleeve 70%; second 30%,Post-selection sensitivity; not an independent candidate,2007-04-02,2021-12-31,14.738095238095237,0.09519650602033414,0.09484670702713904,0.07787061770840747,0.971927195452581,-0.16367115558242273,0.034425336400877526,0.5816327604065481,-0.011508209561890834,-0.042970652812879595,0.19778888986082666,337,337,133,133,68.5,0.16666666666666666,6,0,0.10511915688194542,0.21290365556055993,0.090558386214735,0.09817064240402407,0.03874895758699437,0.4112875971612031,0.04938436289340764,0.3258655804480652,"{""recovery_sector_barbell_M_cyc65_mom63_ma100_top2"": 0.30000000000000004, ""retail_all_weather_fixed"": 0.7}",-0.10962491517319173,-0.16367115558242318,0.04304072593785424,-0.020507149486901022,-0.05419974323838661,-0.057002891257644905,-0.08137949702292757,-0.11423557839624132,fast_worst,Q,first sleeve 70%; second 30%,20.0,True,False
relaxed_5pct_M_40,ETF ensemble post-selection robustness,relaxed_5pct,post_selection_diagnostic,risky ensemble 40%; SHY 60%,Post-selection sensitivity; not an independent candidate,2007-02-01,2021-12-31,14.90079365079365,0.04831340544582541,0.04803173666639404,0.031160622394452428,0.9429253780706516,-0.036844376142087354,0.009626811205936349,1.311283037050449,-0.00457553100375345,-0.004312875961649976,0.08944727968648558,298,298,134,0,,,0,0,0.12901194893688017,0.1791049577882067,0.04746037038107431,0.0488743172688717,0.024336167611238357,0.0,0.029063665816563278,0.0,"{""QQQ_vol_target_12"": 0.1, ""SHY"": 0.6, ""all_weather_sleeve_trend_200"": 0.1, ""retail_all_weather_fixed"": 0.1, ""sector_low_ulcer_positive_trend"": 0.1}",0.023393523589081644,-0.035201266094181394,0.0020782400698384773,-0.02333625466644973,-0.031525092635087515,-0.0317525292612264,-0.020768598297064123,-0.03684437614208769,relaxed_5pct,M,risky ensemble 40%; SHY 60%,20.0,False,False
relaxed_5pct_Q_40,ETF ensemble post-selection robustness,relaxed_5pct,post_selection_diagnostic,risky ensemble 40%; SHY 60%,Post-selection sensitivity; not an independent candidate,2007-04-02,2021-12-31,14.738095238095237,0.048297240498777594,0.04809434325275941,0.031279584379862745,0.9593893932099403,-0.037209302638359754,0.009768584625563256,1.297988327493864,-0.004600322890350407,-0.005211563276607656,0.08891660707047344,298,298,134,0,,,0,0,0.1284870883324165,0.12899264742586777,0.04743080965940294,0.04885127503040132,0.02397553653342621,0.0,0.029065700754027146,0.0,"{""QQQ_vol_target_12"": 0.1, ""SHY"": 0.6, ""all_weather_sleeve_trend_200"": 0.1, ""retail_all_weather_fixed"": 0.1, ""sector_low_ulcer_positive_trend"": 0.1}",0.023091439320056972,-0.03540223426332767,0.0030651136340222873,-0.02293067225231038,-0.03078854419099175,-0.031033304770824555,-0.020814528885817807,-0.037209302638359865,relaxed_5pct,Q,risky ensemble 40%; SHY 60%,20.0,False,False
relaxed_5pct_M_45,ETF ensemble post-selection robustness,relaxed_5pct,post_selection_diagnostic,risky ensemble 45%; SHY 55%,Post-selection sensitivity; not an independent candidate,2007-02-01,2021-12-31,14.90079365079365,0.05208256803174738,0.051775540797224684,0.03478348783365339,0.9429926977995388,-0.043227624354805316,0.011067722728724097,1.204844559679295,-0.005129324104044027,-0.0054386025891345335,0.09654868723373822,299,299,134,0,,,0,0,0.1290196989699644,0.19452798913850344,0.04957720338292093,0.053732110843615066,0.02677400776135852,0.0,0.031873858730095295,0.0,"{""QQQ_vol_target_12"": 0.1125, ""SHY"": 0.55, ""all_weather_sleeve_trend_200"": 0.1125, ""retail_all_weather_fixed"": 0.1125, ""sector_low_ulcer_positive_trend"": 0.1125}",0.015705284456364765,-0.04237396101907143,0.001844659458766662,-0.026617625887382035,-0.03679465762039891,-0.037038938440962954,-0.025901677322829997,-0.04322762435480565,relaxed_5pct,M,risky ensemble 45%; SHY 55%,20.0,False,True
relaxed_5pct_Q_45,ETF ensemble post-selection robustness,relaxed_5pct,post_selection_diagnostic,risky ensemble 45%; SHY 55%,Post-selection sensitivity; not an independent candidate,2007-04-02,2021-12-31,14.738095238095237,0.052141980819234934,0.05191925046375867,0.034898864339644425,0.9598003378874596,-0.04360566204762162,0.011216675699687493,1.1957617054934477,-0.005152106252618512,-0.006410644381869668,0.09594967394328902,299,299,135,0,,,0,0,0.12844562967134346,0.14108346513764128,0.049706010599126715,0.05370155322227843,0.026380825122493956,0.0,0.03186692271638791,0.0,"{""QQQ_vol_target_12"": 0.1125, ""SHY"": 0.55, ""all_weather_sleeve_trend_200"": 0.1125, ""retail_all_weather_fixed"": 0.1125, ""sector_low_ulcer_positive_trend"": 0.1125}",0.015384232423017341,-0.04260579410796672,0.0029539217023728526,-0.026160730199493165,-0.03602108344627919,-0.03628430069604893,-0.025925391269447484,-0.04360566204762173,relaxed_5pct,Q,risky ensemble 45%; SHY 55%,20.0,False,True
relaxed_5pct_M_50,ETF ensemble post-selection robustness,relaxed_5pct,post_selection_diagnostic,risky ensemble 50%; SHY 50%,Post-selection sensitivity; not an independent candidate,2007-02-01,2021-12-31,14.90079365079365,0.05585163310421626,0.055520931757998326,0.03846922421580848,0.9430550970059117,-0.04958265464526279,0.012546194945049766,1.126434909623227,-0.005695362580386338,-0.006575910216915726,0.10368273942699968,299,299,135,0,,,0,0,0.12902692963429993,0.2087771164659445,0.05168651691236792,0.05859752880825564,0.02920673526401041,0.0,0.03467728267466619,0.0,"{""QQQ_vol_target_12"": 0.125, ""SHY"": 0.5, ""all_weather_sleeve_trend_200"": 0.125, ""retail_all_weather_fixed"": 0.125, ""sector_low_ulcer_positive_trend"": 0.125}",0.008050980581594702,-0.049507313036854406,0.0016114485415072988,-0.029894033942401088,-0.04205277666295859,-0.04231370960772218,-0.031014560564946447,-0.0495826546452629,relaxed_5pct,M,risky ensemble 50%; SHY 50%,20.0,False,True
relaxed_5pct_Q_50,ETF ensemble post-selection robustness,relaxed_5pct,post_selection_diagnostic,risky ensemble 50%; SHY 50%,Post-selection sensitivity; not an independent candidate,2007-04-02,2021-12-31,14.738095238095237,0.055987160482458,0.05574561025707281,0.03857739476899972,0.9602057087269896,-0.049967084318267796,0.012699998526019132,1.1204808374618185,-0.005713454506204527,-0.007612053850027722,0.10301511117393947,299,299,137,0,,,0,0,0.1284039797677963,0.15244778351685093,0.05197558628994381,0.05855860971058746,0.028784082146677825,0.0,0.03465939922442929,0.0,"{""QQQ_vol_target_12"": 0.125, ""SHY"": 0.5, ""all_weather_sleeve_trend_200"": 0.125, ""retail_all_weather_fixed"": 0.125, ""sector_low_ulcer_positive_trend"": 0.125}",0.00771503700260423,-0.049771156971476604,0.0028428850091697377,-0.029385689234576406,-0.0412542801168273,-0.041535643906189246,-0.031010222335072668,-0.049967084318267796,relaxed_5pct,Q,risky ensemble 50%; SHY 50%,20.0,False,True
relaxed_5pct_M_55,ETF ensemble post-selection robustness,relaxed_5pct,post_selection_diagnostic,risky ensemble 55%; SHY 45%,Post-selection sensitivity; not an independent candidate,2007-02-01,2021-12-31,14.90079365079365,0.05962050977053246,0.05926785137898105,0.042202095210133836,0.9431140869212834,-0.056601354468614584,0.014078281250558863,1.053340689993417,-0.006272145620715305,-0.007724668030616222,0.11084945634435361,310,310,200,200,81.0,0.0,3,0,0.1290338152986931,0.22184640297320787,0.053788290142301465,0.06347045347569269,0.03163422981864028,0.0,0.037473810249775585,0.0,"{""QQQ_vol_target_12"": 0.1375, ""SHY"": 0.44999999999999996, ""all_weather_sleeve_trend_200"": 0.1375, ""retail_all_weather_fixed"": 0.1375, ""sector_low_ulcer_positive_trend"": 0.1375}",0.0004308726702468846,-0.056601354468614806,0.00137860668315537,-0.03316549059062457,-0.04729942485058192,-0.04757820469702079,-0.03610733742686212,-0.05590960748095053,relaxed_5pct,M,risky ensemble 55%; SHY 45%,20.0,False,False
relaxed_5pct_Q_55,ETF ensemble post-selection robustness,relaxed_5pct,post_selection_diagnostic,risky ensemble 55%; SHY 45%,Post-selection sensitivity; not an independent candidate,2007-04-02,2021-12-31,14.738095238095237,0.05983271962881487,0.05957339585554422,0.042299651724231044,0.9606062405067607,-0.05689850150099662,0.014270165086931104,1.0515693392692749,-0.006286268298284003,-0.00881583747894521,0.1101130074375758,310,310,200,200,73.0,0.0,3,0,0.12836166084548598,0.16307243604012173,0.054239511846891464,0.06342237339796197,0.03118536117820203,0.0,0.037442971133756275,0.0,"{""QQQ_vol_target_12"": 0.1375, ""SHY"": 0.44999999999999996, ""all_weather_sleeve_trend_200"": 0.1375, ""retail_all_weather_fixed"": 0.1375, ""sector_low_ulcer_positive_trend"": 0.1375}",8.376596715464757e-05,-0.05689850150099718,0.002732003281598061,-0.032605561421615525,-0.046488132227785584,-0.046788721824088886,-0.03606922045671024,-0.05629385491250305,relaxed_5pct,Q,risky ensemble 55%; SHY 45%,20.0,False,False
relaxed_5pct_M_60,ETF ensemble post-selection robustness,relaxed_5pct,post_selection_diagnostic,risky ensemble 60%; SHY 40%,Post-selection sensitivity; not an independent candidate,2007-02-01,2021-12-31,14.90079365079365,0.06338909568747697,0.06301619324819385,0.04597130774471857,0.9431704375227907,-0.0636562531741457,0.015842545558029438,0.9958031226572847,-0.006857823018753615,-0.008884634548506853,0.11804898703321487,316,316,206,206,99.0,0.0,4,0,0.12904024515392326,0.23375047945108643,0.05588242872063276,0.06835079661112187,0.03405655408054553,0.0023333333333333335,0.040263349343721444,0.0,"{""QQQ_vol_target_12"": 0.15, ""SHY"": 0.4, ""all_weather_sleeve_trend_200"": 0.15, ""retail_all_weather_fixed"": 0.15, ""sector_low_ulcer_positive_trend"": 0.15}",-0.00715496092955159,-0.06365625317414547,0.001146133250307102,-0.03643200755410758,-0.05253448884312495,-0.052860853409018915,-0.04118009678730983,-0.06220862240203762,relaxed_5pct,M,risky ensemble 60%; SHY 40%,20.0,False,False
relaxed_5pct_Q_60,ETF ensemble post-selection robustness,relaxed_5pct,post_selection_diagnostic,risky ensemble 60%; SHY 40%,Post-selection sensitivity; not an independent candidate,2007-04-02,2021-12-31,14.738095238095237,0.06367853217756703,0.0634023179390979,0.046054995407195806,0.9610011551679855,-0.06398807225034997,0.016044439819614002,0.9951625347991125,-0.006866627412192886,-0.010022002603376712,0.11724345136566794,317,317,207,207,99.0,0.0,4,0,0.12831915444125536,0.1730679656244463,0.056497704852532804,0.06829270121104103,0.033584602197186175,0.0023656640757012504,0.04021750077130615,0.0,"{""QQQ_vol_target_12"": 0.15, ""SHY"": 0.4, ""all_weather_sleeve_trend_200"": 0.15, ""retail_all_weather_fixed"": 0.15, ""sector_low_ulcer_positive_trend"": 0.15}",-0.0075097391416832915,-0.06398807225034997,0.0026212762474848716,-0.03582035878663847,-0.051722637817880446,-0.05207210067203516,-0.04110258199785044,-0.0625862561910655,relaxed_5pct,Q,risky ensemble 60%; SHY 40%,20.0,False,False
