,SPY_60_TLT_40,QQQ_60_IEF_40,SPY_trend_150d,QQQ_vol_target_12,SPY_drawdown_medium,all_weather_inverse_vol_63,all_weather_sleeve_trend_200,GTAA_trend_100,cross_asset_mom_126_top3,GEM_SPY_VEU_AGG,credit_canary_equity_allocation,sector_downside_trend,sector_defensive_upside_barbell,sector_low_ulcer_positive_trend,SPY_95_105_collar,ETF_USMV,ETF_QAI,ETF_PHDG,ETF_NTSX
SPY_60_TLT_40,1.0,0.8281105987155446,0.4798753324068746,0.6599528631763539,0.6690738071653645,0.6439082644079985,0.5320252517764535,0.5302909542836854,0.5611283580385229,0.5243483457206551,0.5080177548550986,0.559515473497306,0.7110913607989253,0.5399608533387535,0.60810009086372,0.6035230836767512,0.5656905365177812,0.319661230838289,0.5028258759274713
QQQ_60_IEF_40,0.8281105987155446,1.0,0.550865244169327,0.8914566669965621,0.7486007215054428,0.42061363683700803,0.21067636406868803,0.4652976494342079,0.3999897908601708,0.5830412140484469,0.4509241149525368,0.6090533464817948,0.7394296530151332,0.6078996577621584,0.7246206908032183,0.5371917390611247,0.6242181714242935,0.4564024099225397,0.49764470944448735
SPY_trend_150d,0.4798753324068746,0.550865244169327,1.0,0.7139275299542461,0.7713322607950223,0.2252893778384838,0.30339810110524956,0.5752614302927515,0.39897466279726884,0.6829421830730177,0.6773029825750244,0.7931403480670562,0.753003385343138,0.7627058293729284,0.7317970440908466,0.4939563620988544,0.5461781034258578,0.5146400538239231,0.39095380442085
QQQ_vol_target_12,0.6599528631763539,0.8914566669965621,0.7139275299542461,1.0,0.8312844521129702,0.25963259144920914,0.12883643104312645,0.4417272695874098,0.381978281393278,0.7301726645149919,0.5337621349528653,0.7321237767423834,0.8012074640238381,0.7331652218195724,0.7971046897329435,0.5590074147615682,0.6410079624380427,0.548135003500449,0.4295022713853674
SPY_drawdown_medium,0.6690738071653645,0.7486007215054428,0.7713322607950223,0.8312844521129702,1.0,0.21951809649482212,0.17530130249884948,0.3998301675231888,0.3695256477199175,0.7577516004976591,0.5027837097364537,0.815708228484835,0.8565819589880961,0.7984360238838426,0.8192513668043152,0.7665348381271182,0.6576964987970411,0.601982968863078,0.58808525315454
all_weather_inverse_vol_63,0.6439082644079985,0.42061363683700803,0.2252893778384838,0.25963259144920914,0.21951809649482212,1.0,0.6921226167136361,0.6307944920236404,0.6626988528025678,0.2468412751117293,0.4661199880076501,0.24999722731258348,0.3141024528113707,0.2453613202840812,0.22876591421629472,0.27899558104644995,0.3951556973870992,0.05736819911377761,0.2449000703695576
all_weather_sleeve_trend_200,0.5320252517764535,0.21067636406868803,0.30339810110524956,0.12883643104312645,0.17530130249884948,0.6921226167136361,1.0,0.5593853955118223,0.7149424465034788,0.19978628446240812,0.51519923892715,0.2930643915891165,0.2566239851973247,0.2870252505345548,0.10208048625418509,0.2511536812846227,0.15040214907064958,0.14728242155059884,0.17868117671990622
GTAA_trend_100,0.5302909542836854,0.4652976494342079,0.5752614302927515,0.4417272695874098,0.3998301675231888,0.6307944920236404,0.5593853955118223,1.0,0.6118617619374778,0.42566076985039975,0.5875174628601767,0.58821451970662,0.5629829327125164,0.4954244812123752,0.49594546067102574,0.25826624585104335,0.432895417171055,0.18407726954121836,0.22197304929694472
cross_asset_mom_126_top3,0.5611283580385229,0.3999897908601708,0.39897466279726884,0.381978281393278,0.3695256477199175,0.6626988528025678,0.7149424465034788,0.6118617619374778,1.0,0.4199741293021428,0.5426499720188592,0.46525683043963234,0.45013657937607404,0.47470844488429986,0.29059591457928535,0.36793065705535083,0.3343063602810663,0.1759776036187628,0.23323242287434773
GEM_SPY_VEU_AGG,0.5243483457206551,0.5830412140484469,0.6829421830730177,0.7301726645149919,0.7577516004976591,0.2468412751117293,0.19978628446240812,0.42566076985039975,0.4199741293021428,1.0,0.5465747012079767,0.7519123001174395,0.7769396034390709,0.7386857934545076,0.7062420871028012,0.6211250126167347,0.6701360378533394,0.40106542463974054,0.471596775238001
credit_canary_equity_allocation,0.5080177548550986,0.4509241149525368,0.6773029825750244,0.5337621349528653,0.5027837097364537,0.4661199880076501,0.51519923892715,0.5875174628601767,0.5426499720188592,0.5465747012079767,1.0,0.5855647642814868,0.5653970523454551,0.5550304789668142,0.4836902480384438,0.38646130172819176,0.42707457837382856,0.3527883957670065,0.32980421553304884
sector_downside_trend,0.559515473497306,0.6090533464817948,0.7931403480670562,0.7321237767423834,0.815708228484835,0.24999722731258348,0.2930643915891165,0.58821451970662,0.46525683043963234,0.7519123001174395,0.5855647642814868,1.0,0.9297304101581501,0.9313156467241455,0.7761443340385249,0.6055571267741838,0.5486195226481094,0.482687632833704,0.42904775159190645
sector_defensive_upside_barbell,0.7110913607989253,0.7394296530151332,0.753003385343138,0.8012074640238381,0.8565819589880961,0.3141024528113707,0.2566239851973247,0.5629829327125164,0.45013657937607404,0.7769396034390709,0.5653970523454551,0.9297304101581501,1.0,0.8755481432862036,0.8192449327989948,0.6825127030579995,0.619118086035092,0.42933363409659164,0.484520188155682
sector_low_ulcer_positive_trend,0.5399608533387535,0.6078996577621584,0.7627058293729284,0.7331652218195724,0.7984360238838426,0.2453613202840812,0.2870252505345548,0.4954244812123752,0.47470844488429986,0.7386857934545076,0.5550304789668142,0.9313156467241455,0.8755481432862036,1.0,0.7243890349459208,0.6280518916467767,0.550849274589978,0.5246395539366115,0.4369539039237538
SPY_95_105_collar,0.60810009086372,0.7246206908032183,0.7317970440908466,0.7971046897329435,0.8192513668043152,0.22876591421629472,0.10208048625418509,0.49594546067102574,0.29059591457928535,0.7062420871028012,0.4836902480384438,0.7761443340385249,0.8192449327989948,0.7243890349459208,1.0,0.5008604391570488,0.5934710328157607,0.4844046149487968,0.37315499164741484
ETF_USMV,0.6035230836767512,0.5371917390611247,0.4939563620988544,0.5590074147615682,0.7665348381271182,0.27899558104644995,0.2511536812846227,0.25826624585104335,0.36793065705535083,0.6211250126167347,0.38646130172819176,0.6055571267741838,0.6825127030579995,0.6280518916467767,0.5008604391570488,1.0,0.6328458043795617,0.42519042247832445,0.7159320988198813
ETF_QAI,0.5656905365177812,0.6242181714242935,0.5461781034258578,0.6410079624380427,0.6576964987970411,0.3951556973870992,0.15040214907064958,0.432895417171055,0.3343063602810663,0.6701360378533394,0.42707457837382856,0.5486195226481094,0.619118086035092,0.550849274589978,0.5934710328157607,0.6328458043795617,1.0,0.3533928987804805,0.5077774657735435
ETF_PHDG,0.319661230838289,0.4564024099225397,0.5146400538239231,0.548135003500449,0.601982968863078,0.05736819911377761,0.14728242155059884,0.18407726954121836,0.1759776036187628,0.40106542463974054,0.3527883957670065,0.482687632833704,0.42933363409659164,0.5246395539366115,0.4844046149487968,0.42519042247832445,0.3533928987804805,1.0,0.3928601806327721
ETF_NTSX,0.5028258759274713,0.49764470944448735,0.39095380442085,0.4295022713853674,0.58808525315454,0.2449000703695576,0.17868117671990622,0.22197304929694472,0.23323242287434773,0.471596775238001,0.32980421553304884,0.42904775159190645,0.484520188155682,0.4369539039237538,0.37315499164741484,0.7159320988198813,0.5077774657735435,0.3928601806327721,1.0
